a/g,ax,ay,az,gx,gy,gz
316,308,17276,1326,-235,283
172,224,17228,1324,-251,309
140,164,17428,1365,-218,285
252,328,17540,1339,-211,286
204,260,17268,1340,-226,298
252,280,17452,1340,-228,299
208,192,17360,1327,-208,316
256,260,17332,1345,-227,282
256,232,17388,1324,-230,293
164,276,17252,1325,-240,312
236,296,17252,1340,-240,310
204,156,17448,1304,-193,309
184,224,17320,1336,-205,280
204,260,17424,1346,-215,287
212,264,17480,1321,-203,283
260,136,17120,1329,-220,316
244,216,17296,1344,-231,323
164,176,17392,1331,-248,297
168,224,17344,1338,-246,281
280,312,17388,1343,-222,308
160,228,17348,1333,-223,298
296,264,17488,1320,-225,303
260,224,17268,1331,-212,295
248,172,17340,1341,-237,287
220,276,17300,1343,-240,277
216,316,17216,1339,-215,296
244,200,17236,1329,-198,283
248,268,17212,1328,-238,297
236,304,17272,1329,-215,288
300,284,17336,1310,-224,284
360,232,17348,1332,-216,294
228,256,17336,1319,-209,309
240,260,17372,1326,-218,297
176,208,17200,1331,-222,298
284,60,17424,1323,-224,301
280,260,17344,1344,-215,310
292,200,17372,1315,-205,299
192,260,17388,1332,-247,310
252,256,17408,1337,-209,303
208,308,17260,1336,-218,299
220,300,17392,1350,-233,288
336,244,17432,1316,-206,303
240,252,17220,1354,-210,308
208,256,17372,1338,-218,287
284,192,17440,1345,-217,282
332,272,17236,1334,-222,295
228,276,17324,1316,-226,298
272,244,17436,1335,-220,277
220,244,17448,1305,-239,293
248,240,17460,1323,-227,302
248,220,17284,1340,-252,294
336,312,17408,1313,-240,312
276,264,17332,1318,-235,288
348,244,17320,1323,-226,288
244,172,17388,1330,-230,311
260,300,17416,1347,-245,293
320,308,17244,1327,-215,293
168,208,17568,1356,-217,295
284,240,17392,1322,-229,309
292,324,17352,1345,-225,304
236,264,17432,1322,-247,274
284,256,17460,1343,-226,298
256,204,17244,1339,-223,284
292,244,17496,1327,-234,285
188,300,17652,1319,-221,298
296,284,17488,1329,-235,305
208,192,17372,1342,-222,284
332,232,17228,1322,-233,313
276,248,17296,1313,-245,304
212,296,17440,1330,-212,297
216,224,17280,1333,-229,319
220,300,17424,1328,-214,292
288,184,17456,1320,-246,302
228,332,17148,1319,-214,280
172,204,17268,1332,-237,308
188,284,17396,1338,-230,315
168,288,17244,1337,-204,299
216,276,17316,1316,-276,314
304,204,17472,1321,-225,320
192,256,17400,1356,-209,308
184,172,17376,1331,-223,309
128,264,17144,1340,-226,298
244,196,17396,1355,-234,297
256,228,17436,1324,-238,299
292,116,17316,1328,-200,307
228,188,17328,1356,-215,318
332,192,17512,1336,-255,311
236,212,17380,1326,-231,303
228,284,17128,1339,-248,305
252,144,17352,1324,-223,301
172,272,17308,1325,-215,279
216,276,17248,1340,-261,297
288,284,17300,1337,-222,264
176,140,17308,1328,-237,315
204,264,17384,1327,-231,298
268,340,17288,1322,-242,298
208,208,17320,1343,-227,309
228,176,17208,1337,-247,293
248,136,17400,1360,-219,303
248,276,17364,1305,-217,317
328,304,17568,1331,-221,283
300,320,17348,1320,-207,275
260,240,17280,1317,-220,300
260,224,17300,1347,-233,282
184,240,17280,1332,-186,287
152,208,17392,1327,-210,311
268,208,17356,1340,-238,310
168,184,17260,1319,-241,302
256,256,17252,1349,-231,292
220,296,17384,1349,-257,302
212,168,17392,1338,-226,309
288,248,17300,1353,-219,286
188,328,17428,1336,-232,291
308,276,17312,1321,-225,313
216,216,17376,1315,-235,300
304,308,17412,1339,-223,300
196,228,17356,1349,-216,333
268,284,17384,1308,-224,307
236,232,17232,1346,-230,287
228,240,17308,1327,-220,291
184,248,17428,1348,-239,298
344,288,17300,1339,-243,325
176,216,17292,1310,-227,291
324,256,17532,1337,-236,300
260,180,17280,1315,-238,286
316,188,17172,1350,-213,288
204,220,17400,1325,-245,286
148,200,17408,1347,-219,305
176,180,17236,1324,-223,319
192,256,17320,1313,-207,302
196,240,17436,1329,-224,301
232,308,17304,1324,-248,289
192,276,17336,1336,-218,299
284,144,17416,1332,-215,322
236,244,17452,1334,-219,296
240,216,17432,1322,-212,291
204,220,17436,1327,-238,304
160,216,17280,1311,-213,307
208,288,17356,1328,-233,307
324,304,17252,1339,-220,286
252,216,17308,1351,-242,296
236,228,17444,1325,-224,314
324,176,17156,1357,-230,309
252,352,17360,1309,-240,298
400,276,17272,1324,-229,311
216,240,17388,1338,-231,322
156,176,17308,1332,-237,294
196,200,17416,1332,-220,306
160,236,17284,1321,-243,278
252,284,17408,1327,-246,274
192,328,17440,1337,-226,312
248,188,17364,1338,-196,293
316,272,17392,1320,-221,299
120,268,17372,1343,-254,288
156,328,17212,1314,-214,304
280,240,17364,1325,-226,308
248,264,17272,1326,-238,284
192,264,17300,1313,-214,315
244,240,17292,1325,-242,294
308,260,17372,1331,-240,291
260,260,17380,1332,-220,320
292,256,17352,1297,-227,297
256,216,17368,1316,-226,291
184,292,17304,1336,-230,315
272,248,17408,1328,-237,287
196,296,17388,1326,-221,311
224,264,17316,1332,-209,294
252,336,17496,1309,-265,304
204,296,17400,1323,-226,281
192,292,17444,1317,-223,297
516,324,16884,1329,-256,306
